,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
145259,52177G102,LEAF,LEAF,"9, 9, 0, []",9,9,0,1,0
145418,G3163G104,CNR.1,CNR,"24, 24, 0, []",24,24,0,1,1
145430,44267D107,HHC,HHC,"10, 10, 0, []",10,10,0,1,0
145697,099502106,BAH,BAH,"9, 9, 0, []",9,9,0,1,0
145771,766582100,RNET,RNET,"10, 10, 0, []",10,10,0,1,0
146016,429090103,HKAC,HKAC,"2, 2, 0, []",2,2,0,1,0
146042,89102U103,TRCH,TRCH,"11, 11, 0, []",11,11,0,1,0
146349,620097105,MMI.3,MMI,"7, 7, 0, []",7,7,0,1,1
146404,81763U100,SREV,SREV,"9, 9, 0, []",9,9,0,1,0
146461,126633106,UAN,UAN,"9, 9, 0, []",9,9,0,1,0
146661,G06207115,AFH,AFH,"8, 8, 0, []",8,8,0,1,0
146777,09739C102,WIFI,WIFI,"9, 9, 0, []",9,9,0,1,0
146796,977880103,WBKC,WBKC,"7, 7, 0, []",7,7,0,1,0
146939,29102K200,EME.,EME,"24, 24, 0, []",24,24,0,1,1
146943,12674R100,CJ,CJ,"5, 5, 0, []",5,5,0,1,0
147038,88362T103,THR,THR,"9, 9, 0, []",9,9,0,1,0
147202,374396406,GEVO,GEVO,"9, 9, 0, []",9,9,0,1,0
147231,486577109,KYAK,KYAK,"1, 1, 0, []",1,1,0,1,0
147377,97751C100,WIZD,WIZD,"12, 12, 0, []",12,12,0,1,0
147584,74965F203,RLJE,RLJE,"6, 6, 0, []",6,6,0,1,0
147677,22099V933,CRTN.,CRTN,"19, 19, 0, []",19,19,0,1,1
147720,74641P104,PFG.,PFG,"19, 19, 0, []",19,19,0,1,1
147755,458488400,ICLD,ICLD,"10, 10, 0, []",10,10,0,1,0
147837,92339V100,VER,VER,"9, 9, 0, []",9,9,0,1,0
147898,85814R107,SPLP,SPLP,"9, 9, 0, []",9,9,0,1,0
147993,02799D938,AMID.1,AMID,"8, 8, 0, []",8,8,0,1,1
148326,870808300,SWSH,SWSH,"6, 6, 0, []",6,6,0,1,0
148412,33737J117,FEP,FEP,"14, 14, 0, []",14,14,0,1,1
148571,351793203,FRAN,FRAN,"8, 8, 0, []",8,8,0,1,0
148675,930427109,WAGE,WAGE,"7, 7, 0, []",7,7,0,1,0
148733,98212B103,WPX,WPX,"9, 9, 0, []",9,9,0,1,0
148881,50214A104,LRE,LRE,"4, 4, 0, []",4,4,0,1,0
148889,73933G202,PSIX,PSIX,"10, 10, 0, []",10,10,0,1,0
148915,61945B105,M.,M,"25, 25, 0, []",25,25,0,1,1
148956,37951D102,ENT,ENT,"8, 8, 0, []",8,8,0,1,0
148989,597742105,MSBI,MSBI,"4, 4, 0, []",4,4,0,1,0
149072,12674E208,CCH.,CCH,"2, 2, 0, []",2,2,0,1,1
149271,63009Q101,CTLE,CTLE,"10, 10, 0, []",10,10,0,1,0
149288,46604H105,IZEA,IZEA,"8, 8, 0, []",8,8,0,1,0
149654,025300104,CRYO,CRYO,"10, 10, 0, []",10,10,0,1,1
149693,90353W103,UI,UI,"8, 8, 0, []",8,8,0,1,0
149865,04523Y105,ASPN,ASPN,"6, 6, 0, []",6,6,0,1,1
150148,24802Y105,DWRE,DWRE,"4, 4, 0, []",4,4,0,1,0
150163,42225P501,HTA,HTA,"14, 14, 0, []",14,14,0,1,1
150204,29414B104,EPAM,EPAM,"9, 9, 0, []",9,9,0,1,0
150215,097793400,BCEI,BCEI,"9, 9, 0, []",9,9,0,1,0
150267,29363J108,ENFC,ENFC,"5, 5, 0, []",5,5,0,1,0
150442,171604101,CHUY,CHUY,"8, 8, 0, []",8,8,0,1,0
150519,59560V109,MCEP,MCEP,"9, 9, 0, []",9,9,0,1,0
150565,31660B101,FRGI,FRGI,"8, 8, 0, []",8,8,0,1,0
150709,64881D101,NSE,NSE,"1, 1, 0, []",1,1,0,1,0
150743,00110G309,SIZ,SIZ,"11, 11, 0, []",11,11,0,1,0
150753,12769A103,PRSS,PRSS,"6, 6, 0, []",6,6,0,1,0
150813,14316J108,CG,CG,"8, 8, 0, []",8,8,0,1,0
150922,30162A108,XLS,XLS,"4, 4, 0, []",4,4,0,1,0
151353,00213T109,ASBB,ASBB,"6, 6, 0, []",6,6,0,1,0
151428,372284208,GNE,GNE,"7, 7, 0, []",7,7,0,1,0
151497,890260706,TNXP,TNXP,"11, 11, 0, []",11,11,0,1,0
