,cusip,tic,ticker,extraction_info,totals,extracted,errors
90784,919518100,VCBP,VCBP,"0, 0, 0, []",0,0,0
90794,59318C106,CCA,CCA,"0, 0, 0, []",0,0,0
90806,67067Y104,NSL,NSL,"0, 0, 0, []",0,0,0
90819,68372T301,OPXA,OPXA,"0, 0, 0, []",0,0,0
90829,695257105,PTV,PTV,"11, 11, 0, []",11,11,0
90832,135113108,CLU.3,CLU,"6, 6, 0, []",6,6,0
90836,842873101,SFST,SFST,"15, 15, 0, []",15,15,0
90862,002184109,ATWOQ,ATWOQ,"0, 0, 0, []",0,0,0
90863,92932C103,WQNI,WQNI,"0, 0, 0, []",0,0,0
90868,00971T101,AKAM,AKAM,"21, 21, 3, ['03', '02', '01']",21,21,3
90881,16133R205,CHRT,CHRT,"0, 0, 0, []",0,0,0
90883,879604106,TKOI,TKOI,"14, 14, 2, ['07', '06']",14,14,2
90895,36269P104,GAIA,GAIA,"21, 21, 0, []",21,21,0
90907,72919P202,PLUG,PLUG,"21, 21, 0, []",21,21,0
90919,46435G334,EWU,EWU,"0, 0, 0, []",0,0,0
90932,464286749,EWL,EWL,"0, 0, 0, []",0,0,0
90945,464286756,EWD,EWD,"0, 0, 0, []",0,0,0
90958,64049M209,NEO,NEO,"12, 12, 1, ['09']",12,12,1
90970,962171104,WYL.1,WYL,"0, 0, 0, []",0,0,0
90971,464286764,EWP,EWP,"0, 0, 0, []",0,0,0
90984,09256F108,PEFX,PEFX,"0, 0, 0, []",0,0,0
90985,878520204,TCLRY,TCLRY,"0, 0, 0, []",0,0,0
90997,46434G780,EWS,EWS,"0, 0, 0, []",0,0,0
91010,464286814,EWN,EWN,"0, 0, 0, []",0,0,0
91023,464286822,EWW,EWW,"0, 0, 0, []",0,0,0
91036,46434G814,EWM,EWM,"0, 0, 0, []",0,0,0
91049,46434G822,EWJ,EWJ,"0, 0, 0, []",0,0,0
91062,19421R200,CLCT,CLCT,"20, 20, 3, ['06', '07', '05']",20,20,3
