,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,cusip,ticker
31357,,,,,,,,,,,,,,,,,,,,0.9374453860322988,0.8812079042425124,0.9377542548238541,0.9611617786616226,,87876P201,TGEN
62352,,,,,,,,,,,,,,,,,,,,,,,,,189763105,CODX
34131,,,,,,,,,,,,,,,,,,,,,0.9854987269694394,0.9852618742779667,0.9850767371048619,0.9783625644621324,10482B101,BHR
18730,,,,,,,,,,,,,,,,,,,,,0.9854987269694394,0.9852618742779667,0.9850767371048619,0.9783625644621324,09238D205,BHR
108870,,,,,,,,,,,,0.9286974907466578,0.9668828506713515,0.9150862660989209,0.9486162776235872,0.9472638390165781,0.9493254081102823,0.9647714866786966,0.9926256006302959,0.9940389119178036,0.9955167387095004,0.9942803656579331,0.989005383002686,0.9786949797036874,517834107,LVS
84657,,,,,,0.8967928768554333,0.882389099690777,0.9167537141432508,0.9529650906583326,0.9291350825763395,0.9553592842480126,0.9652407995747367,0.8807035007953927,0.9053012183943681,0.9394558259056173,0.974749360867766,0.9557265808765565,0.9612185519135762,0.9744082958418385,0.9680072023002503,0.9628822188027361,0.9719222523351657,,,517942108,LHO
68000,,,,,,0.9078740849549328,0.9399986106223795,0.9672663305909465,0.9906254733216828,0.9317077363036309,0.9513244770703014,0.9581202954372331,0.894546803467479,0.8861981068872437,0.9303711274639844,0.9507482953148033,,,,,,,,,314645102,FETM
128084,,,,,,,,,,,,,,,0.9489416427099563,0.9520427658833163,,,,,,,,,052660107,AUTH
46807,,,,,,,,,,,,,,,0.97985221282693,0.9497090586081282,0.9655778152015019,0.9804372197354262,0.9834848462626833,0.3788872123325277,0.5943492534293134,0.8085394663912427,1.0,,740294301,PEYE
45998,,,,0.9706653549328877,0.9714328705677439,0.8985225127631434,0.9305630655010928,0.959877296120672,0.9698988828041321,0.9128147981415018,0.9478883799475956,0.95434851895577,0.935743419483526,0.9390294543721295,0.9510509782037442,0.9605331988821715,0.9676767352735496,0.9668906766868358,0.9647518186064703,0.9748851868133315,0.9784764857973022,0.9783775339736048,0.9794160753306594,0.9808517503344175,63633D104,NHI
64871,,,,,,,,,,,,,,,,,,,,,,,,,91381U101,UBX
41621,,,,,,,,,,,,,,,,,,,,,,0.9930190200666115,0.9835922269865414,0.9909034007217817,51508J108,LMRK
49991,,,,,,,,,,,,,,0.9678684433556543,0.9742644125623624,0.9780259728041175,0.9568062698944789,0.9663460795168536,0.9492645270689195,0.8301845957176758,0.21426814296264626,0.4855933536835484,0.7462361722086969,1.0,14888D208,CBIO
150182,,,,,,,,,,,,,,0.9678684433556543,0.9742644125623624,0.9780259728041175,0.9568062698944789,0.9663460795168536,0.9492645270689195,0.8301845957176758,0.21426814296264626,0.4855933536835484,0.7462361722086969,1.0,14999R930,CBIO
33542,,,,,,,,,,,,,,,,,,,,,0.7128805989049806,0.7201539585877471,0.4521501499541875,0.627774562897891,90184L102,TWTR
